address,type,size,name
0x0056142c,global,4,?g_gameContactLinksEnd@@3PAEA
0x00561430,global,6144,?g_gameContactLinks@@3PAEA
0x00c0a510,global,4,?g_gameSoundSlotFrequency0@@3HA
0x00c0a514,global,15612,?g_gameSoundSlots@@3PAEA
0x00c0f358,global,4,?g_gameTextureScratch@@3PAIA
0x00c4f358,global,4,?g_gameTextureScratchEnd@@3IA
0x00c0f218,global,4,?g_deferredReleaseWriteIndex@@3HA
0x00c0f220,global,36,?g_gameActiveSoundSlots@@3PAPAPAUIDirectSoundBuffer@@A
0x00d11dc0,global,1,?g_gameAudioChannelScratchEnd@@3EA
0x00d0f400,global,256,g_gameKeyDown
0x00d0f518,global,256,g_gameKeyPressed
