address,type,size
0x0042b2e0,float,4
0x0042c5f0,float,4
0x0042c5f8,float,8
0x0042c600,float,8
0x0042c608,float,4
0x0042c60c,float,4
0x0042c610,float,4
0x0042c614,float,4
0x0042c618,float,4
0x0042c61c,float,4
0x0042c620,float,4
0x0042c624,float,4
0x0042c628,float,4
0x0042c62c,float,4
0x0042c634,float,4
0x0042c638,float,4
0x0042c640,float,4
0x0042c644,float,4
0x0042c698,float,4
0x0042c6a8,float,4
0x0042c6d0,float,4
0x0042c708,float,4
0x0042c70c,float,4
0x0042c710,float,4
0x0042c754,float,4
0x0042c758,float,4
0x0042c75c,float,4
0x0042c76c,float,4
0x0042c780,float,4
0x0042c784,float,4
0x0042c7ac,float,4
0x0042c7bc,float,4
0x0042c898,float,4
0x0042c8e8,float,4
0x0042c8fc,float,4
0x0042c900,float,4
0x0042c95c,float,4
0x0042c968,float,4
0x0042c96c,float,4
0x0042c970,float,4
0x0042c974,float,4
0x0042c978,float,4
0x0042c97c,float,4
0x0042c980,float,4
0x0042c984,float,4
0x0042c988,float,4
0x0042c98c,float,4
0x0042c990,float,4
0x0042c994,float,4
0x0042c998,float,4
0x0042c99c,float,4
0x0042c9a0,float,4
0x0042c9ac,float,4
0x0042c9b4,float,4
0x0042c9f8,float,4
0x0042c9fc,float,4
0x0042ca00,float,4
0x0042ca04,float,4
0x0042ca08,float,4
0x0042ca0c,float,4
0x0042ca10,float,4
0x0042ca14,float,4
0x0042ca18,float,4
0x0042ca1c,float,4
0x0042ca20,float,8
0x0042ca28,float,8
0x0042ca30,float,8
0x0042ca38,float,8
0x0042ca40,float,4
0x0042ca44,float,4
0x0042ca48,float,4
0x0042ca50,float,8
0x0042ca60,float,4
0x0042ca64,float,4
0x0042ca68,float,4
0x0042ca6c,float,4
0x0042ca70,float,4
0x0042ca74,float,4
0x0042ca78,float,4
0x0042ca7c,float,4
0x0042ca80,float,4
0x0042ca84,float,4
0x0042ca88,float,4
0x0042ca8c,float,4
0x0042ca90,float,4
0x0042ca94,float,4
0x0042ca98,float,4
0x0042ca9c,float,4
0x0042caa0,float,4
0x0042caa4,float,4
0x0042caa8,float,4
0x0042caac,float,4
0x0042cab0,float,4
0x0042cab4,float,4
0x0042cab8,float,4
0x0042cabc,float,4
0x0042cac0,float,4
0x0042cac4,float,4
0x0042cac8,float,4
0x0042cacc,float,4
0x0042cad0,float,4
0x0042cad4,float,4
0x0042cad8,float,4
0x0042cadc,float,4
0x0042cae0,float,4
0x0042cae4,float,4
0x0042cae8,float,4
0x0042caec,float,4
0x0042caf0,float,4
0x0042caf4,float,4
0x0042caf8,float,4
0x0042cafc,float,4
0x0042cb00,float,4
0x0042cb04,float,4
0x0042cb08,float,4
0x0042cb0c,float,4
0x0042cd6c,float,4
