address,type,size,symbol
0x0042b25c,string,,cameraRecordFormat
0x0042b290,string,,cameraFileName
0x0042c7b0,string,,screenshotPrefix
0x0042c7c0,string,,gameTimerFormat
0x0042c7c8,string,,??_C@_0GI@OIFMIMB@Controls?3?6?5S?5?5?5?5?5?5?5?5?5?9?5start?5mat@
0x0042c830,string,,??_C@_0GI@MDDNNHKM@Controls?3?6?5DOWN?5?5?5?5?5?5?9?5start?5mat@
0x0042c89c,string,,??_C@_0BG@OCKEHAMO@Space?5to?5restart?5game?$AA@
0x0042c8b4,string,,??_C@_0CE@IJFEJLDO@?5?5?5?5?5?5?5?5?5?5?5?6?5Game?5Over?5?6?5?5?5?5?5?5?5?5@
0x0042c8d8,string,,??_C@_0O@HMMHLPJI@?5Game?5?6?5?5?$DM?9?5?5?$AA@
0x0042c8ec,string,,??_C@_0O@GDOLPJNL@?5Game?5?6?5?5?9?$DO?5?5?$AA@
0x0042c904,string,,??_C@_0BD@ELJGFIEN@Grey?5guy?5?$CIplayer2?$CJ?$AA@
0x0042c918,string,,??_C@_0BC@CMDHFBOK@Blue?5guy?5?$CIplayer?$CJ?$AA@
0x0042c92c,string,,??_C@_09GMKELAO@Green?5guy?$AA@
0x0042c938,string,,??_C@_09IBGCBBGF@Brown?5guy?$AA@
0x0042c944,string,,??_C@_08HDCEKEID@Grey?5guy?$AA@
0x0042c950,string,,??_C@_08EDEIJMPL@Blue?5guy?$AA@
0x0042c644,float,4,__real@3e4ccccd
0x0042c8fc,float,4,__real@3d4ccccd
0x0042c7bc,float,4,gameTimeoutTextX
0x0042c898,float,4,__real@bf4ccccd
0x0042c8e8,float,4,__real@3ed70a3d
0x0042c900,float,4,__real@be19999a
0x00402846,function,0x4bb,?UpdateFreeGameCamera@@YAXH@Z
0x0040e1d2,function,0x4b5,?RunGameFrame@@YAXE@Z
0x00406eba,function,0x8d5,?InitializeGameRuntimeState@@YAHXZ
0x0040d7cf,function,0x9b9,?UpdateGameReplay@@YAHXZ
0x00402f1b,function,0x8ff,?UpdateGameCamera@@YAXXZ
0x0040ec0d,function,0x1135,?Initialize@GameMan@@QAEXAAUVector3@@MHH@Z
0x00410b60,function,0x431b,?Update@GameMan@@QAEXH@Z
0x00414e7b,global,0x24,_GameManUpdateDispatchTable0
0x00414e9f,global,0x3c,_GameManUpdateDispatchTable1
0x0040a477,function,0x1133,?ResolveGameCollisions@@YAXXZ
0x00409b35,function,0x499,?FractureGameBoxAtPoint@@YAEAAUVector3@@PAUGameBox@@@Z
0x0041aff0,function,0x159,?DistortTextureByLayers@@YAHHHDHHDH@Z
0x00410527,function,0x35e,?BuildDefaultGameArena@@YAXH@Z
0x004096d2,function,0x39a,?ApplyWaterInteraction@GameBox@@QAEXXZ
0x0040ff4c,function,0x3f6,?ChooseAiInput@GameMan@@QAEIPAU1@@Z
0x0040c5c7,function,0x4fd,?Render@GameBox@@QAEXXZ
0x00409fce,function,0x4a9,?GenerateGameBoxCollisionContacts@@YAHPAUGameBox@@0@Z
0x0040c179,function,0x3f1,?RenderWaterSurface@@YAXXZ
0x0042c760,,,__real@43480000
0x0042c764,,,__real@3089705f
0x0042c768,,,__real@1e3ce508
0x004022c1,function,,?Normalize@Vector3@@QAEMXZ
0x00402302,function,,?Normalized@Vector3@@QAE?AU1@XZ
0x004059f9,function,0x1ba,?CompileFunctionDefinition@ExpressionParser@@QAEPADPAD00@Z
0x00405d55,function,0x260,?PrepareEvaluation@ExpressionParser@@QAEXXZ
0x00405fb5,function,0x261,?CompileExpression@ExpressionParser@@QAE?AUParserExpression@@H@Z
0x00406306,function,0x229,?CompileStatement@ExpressionParser@@QAEPADPAD@Z
0x00406587,function,0x420,?CompileValue@ExpressionParser@@QAE?AUParserExpression@@H@Z
0x004069a7,function,0x2b2,?LoadGameLevel@@YAXPAD@Z
0x00404d8f,function,0xc4,?ParserBuiltinTurnTo@@YAXPAUParserBuiltinCall@@@Z
0x00417c9f,function,0xf6,_ApplyTrackerVolumeColumn
0x00417d95,function,,?UpdateTrackerMixerChannel@@YAXPAUTrackerChannelState@@PAUGameAudioParsedSample@@PAUGameAudioParsedModule@@@Z
0x00407ca7,function,,?GameAudioRead@@YAHPAXHPAUGameAudioStreamContext@@@Z
0x00407cdc,function,,?GameAudioSeek@@YAPAUGameAudioStreamContext@@PAU1@HC@Z
0x00416be4,function,,?ConfigureGameAudioTiming@@YAXPAUGameAudioTiming@@H@Z
0x00416c19,function,,?GameAudioShutdownBackend@@YAEH@Z
0x00418029,function,,?ProcessGameAudioPatternRow@@YAXPAUGameAudioParsedModule@@@Z
0x0041897e,function,0x6a5,_ParseGameAudioModule
0x00419023,function,,_ConfigureGameAudioStreamCallbacks
0x00419090,function,,?CreateGameAudioOwnedBlock@@YAPAUGameAudioOwnedBlock@@HDH@Z
0x004190e8,function,,?InvokeGameAudioBlockTail@@YAHHHPAUGameAudioOwnedBlock@@@Z
0x00419106,function,,_InvokeGameAudioBlockHead
0x00419400,function,,?ImportTextureTga@@YAHPBDPAI@Z
0x004194f0,function,,?ShutdownTextureGenerator@@YAXXZ
0x00419580,function,,?SampleTexturePixelX87@@YAIPAIMM@Z
0x00419840,function,,?SampleTexturePixelMmx@@YAIPAIMM@Z
0x00419950,function,,?SampleTexturePixel@@YAIPAIMM@Z
0x00419980,function,,?BuildTextureSet@@YAPAPAXPAPAXPAX@Z
0x0041a150,function,,?InterpolateTextureValue@@YAMMMMMMM@Z
0x0041a1a0,function,,?FillTextureCubicNoise@@YAXPAMHM@Z
0x0041a420,function,,?GenerateTextureCubicNoise@@YAXHDHHHHH@Z
0x0041a500,function,,?AddTextureLayers@@YAPAIPAI0@Z
0x0041a530,function,,?FillTextureFractalMap@@YAXPAIHM@Z
0x0041a740,function,,?GenerateTextureFractalPlasma@@YAXHDHHHH@Z
0x0041a830,function,,?GenerateTextureCells@@YAXHDHHHHHH@Z
0x0041aa30,function,,?GenerateTexturePlasma@@YAXHDHHHH@Z
0x0041ab20,function,,?GenerateTextureRadialGradient@@YAXHHDH@Z
0x0041ac40,function,,?DistortTextureSine@@YAHHHHHHHH@Z
0x0041ad80,function,,?DistortTextureTwirl@@YAHHH@Z
0x0041aec0,function,,?TranslateTextureLayerWrapped@@YAXHDD@Z
0x0041af40,function,,?SubtractShiftedTextureLayer@@YAXHF@Z
0x0041b150,function,,?SwapTextureChannels@@YAXHDHD@Z
0x0041b270,function,,?ReplicateTextureChannel@@YAHHD@Z
0x0041b2c0,function,,?ShadeTextureLayerByChannel@@YAXHHD@Z
0x0041b360,function,,?CopyTextureChannel@@YAXHDHD@Z
0x0041b420,function,,?MixTextureLayers@@YAXHHH@Z
0x0041b4c0,function,,?MultiplyTextureLayers@@YAXHH@Z
0x0041b570,function,,?AdjustTextureContrast@@YAXHH@Z
0x0041b670,function,,?ApplyTextureColorMap@@YAXHH@Z
0x0041b6d0,function,,?ApplyTextureCosineWave@@YAXHDH@Z
0x0041b770,function,,?RemapTextureChannelRange@@YAXHDHH@Z
0x0041b820,function,,?ExpandTextureBitmap@@YAPAIHPAEII@Z
0x0041b870,function,,?BlurTextureLayer@@YAHHH@Z
0x0041ba40,function,,?DirectionalBlurTextureLayer@@YAXHHDH@Z
0x0041bbf0,function,,?AddTextureLayersSaturated@@YAXHH@Z
0x0041bc90,function,,?MaxTextureLayers@@YAXHH@Z
0x0041c180,function,,?ApplyTextureGradient@@YAXHCHHHHHH@Z
0x0041c2a0,function,,?BlendTextureLayersByMask@@YAXHHHC@Z
0x0041c3d0,function,,?EmbossTextureLayer@@YAXH@Z
0x00407818,function,,?UpdateHiddenGameScreen@@YAHXZ
0x004086a6,function,,?ApplyPairedAngularImpulse@@YAXPAPAUGameBox@@AAUVector3@@@Z
0x004089de,function,,?BuildEdges@GameBox@@QAEXXZ
0x00408c36,function,,?ResetGameContactLists@@YAXXZ
0x004092f8,function,0x381,?ClipGeometry@GameBox@@QAEXAAU1@AAUVector3@@M@Z
0x0040b5aa,function,,?ApplyWaterInteractionToMovingBoxes@@YAXXZ
0x0040b798,function,,?Next@GameRandomGenerator@@QAEMXZ
0x0040fdd0,function,,?RenderGameCrossMarker@@YAXPAUVector3@@PAX@Z
0x0041041d,function,0x10a,?FindNearestOpponent@GameMan@@QAEPAU1@AAUVector3@@0@Z
0x0042aba2,,,logEhHandler
0x004345a4,,,logEhDescriptor
0x0042abcc,,,powerEhHandler
0x004345e0,,,powerEhDescriptor
0x0042ab36,,,stringConstructorEhHandler
0x00434510,,,stringConstructorEhDescriptor
0x0042b24c,string,11,stringConstructorDecimalDigits
0x0042ac38,,,writeStringEhHandler
0x00434678,,,writeStringEhDescriptor
0x0042acb0,,,settingsTransformEhHandler
0x004346fc,,,settingsTransformEhDescriptor
0x0042c27c,,,??_C@_0CF@GDODPGFN@0123456789ABCDEFGHIJKLMNOPQRSTUV@
0x0042c3c4,string,8,prepareEvaluationDumpFilename
0x0042c3cc,,,compileExpressionInvalidError
0x0042c3dc,,,compileExpressionCloseError
0x0042c3e8,,,compileExpressionOperatorError
0x0042c3fc,,,compileExpressionUnexpectedCloseError
0x0042c334,,,compileFunctionUnclosedError
0x0042c358,,,compileFunctionParameterError
0x0042c378,,,compileFunctionBraceError
0x0042c398,,,compileFunctionBuiltinOverrideError
0x0042c428,string,28,compileStatementConstantError
0x0042c444,string,33,compileStatementRepeatCloseError
0x0042c468,string,22,compileStatementRepeatBraceError
0x0042c480,string,39,compileStatementRepeatNegativeError
0x0042c4a8,string,36,compileStatementRepeatConstantError
0x0042c4cc,string,24,compileStatementRepeatParenthesisError
0x0042c4e4,string,10,compileStatementRepeatKeyword
0x0042c4f0,float,8,compileValueFractionScale
0x0042c500,string,20,compileValueExpectedError
0x0042c514,string,28,compileValueUnknownNameError
0x0042c530,string,19,compileValueUndefinedFunctionError
0x0042c544,string,24,compileValueMinusError
0x0042c55c,string,25,compileValueParameterError
0x0042b2d8,,,findOpponentLateralScale
0x0042c574,,,loadGameLevelErrorCaption
0x0042c588,,,loadGameLevelEditorTitle
0x0042c5a8,,,loadGameLevelEditedFilename
0x0042c5b8,,,loadGameLevelArenaExtent
0x00467bd0,,,?g_gameLevelEditBuffer@@3DA
0x004eac9c,,,?g_gameMenuPage@@3HA
0x00be6718,,,?g_gameBoxTextureTriangleCounts@@3EA
0x00c0f650,global,4,_g_gameTexturesEnd
0x00c0f654,global,8,_g_gameTexturesOddEnd
