address,type,size,name
0x0042ad7b,synthetic,,$E2
0x0042ad85,synthetic,,$E2
0x0042ad9d,synthetic,,$E2
0x0042ada7,synthetic,,$E5
0x0042adb1,synthetic,,$E2
0x0042adc9,synthetic,,$E5
0x00560c0c,global,4,?g_gameContactLinksEnd@@3PAEA
0x00560c10,global,6144,?g_gameContactLinks@@3PAEA
0x00c09cf0,global,4,?g_gameSoundSlotFrequency0@@3HA
0x00c09cf4,global,15612,?g_gameSoundSlots@@3PAEA
0x00c0eb38,global,4,?g_gameTextureScratch@@3PAIA
0x00c4eb38,global,4,?g_gameTextureScratchEnd@@3IA
0x00c0e9f8,global,4,?g_deferredReleaseWriteIndex@@3HA
0x00c0ea00,global,36,?g_gameActiveSoundSlots@@3PAPAPAUIDirectSoundBuffer@@A
0x00d115c0,global,1,?g_gameAudioChannelScratchEnd@@3EA
0x00d0ebe0,global,256,g_gameKeyDown
0x00d0ecf8,global,256,g_gameKeyPressed
