address,type,size,symbol
0x0041e649,global,,reccmpLibraryBoundaryExit
0x00421469,global,,reccmpLibraryBoundaryFpClear0
0x00421fc2,global,,reccmpLibraryBoundaryFpClear1
0x00422056,global,,reccmpLibraryBoundaryFpClear2
0x0042339b,global,,reccmpLibraryBoundaryFpClear3
0x004233e5,global,,reccmpLibraryBoundaryFpClear4
0x0042b25c,string,,cameraRecordFormat
0x0042b290,string,,cameraFileName
0x0042c7b0,string,,screenshotPrefix
0x0042c7c0,string,,gameTimerFormat
0x0042c7c8,string,,??_C@_0GI@OIFMIMB@Controls?3?6?5S?5?5?5?5?5?5?5?5?5?9?5start?5mat@
0x0042c830,string,,??_C@_0GI@MDDNNHKM@Controls?3?6?5DOWN?5?5?5?5?5?5?9?5start?5mat@
0x0042c89c,string,,??_C@_0BG@OCKEHAMO@Space?5to?5restart?5game?$AA@
0x0042c8b4,string,,??_C@_0CE@IJFEJLDO@?5?5?5?5?5?5?5?5?5?5?5?6?5Game?5Over?5?6?5?5?5?5?5?5?5?5@
0x0042c8d8,string,,??_C@_0O@HMMHLPJI@?5Game?5?6?5?5?$DM?9?5?5?$AA@
0x0042c8ec,string,,??_C@_0O@GDOLPJNL@?5Game?5?6?5?5?9?$DO?5?5?$AA@
0x0042c904,string,,??_C@_0BD@ELJGFIEN@Grey?5guy?5?$CIplayer2?$CJ?$AA@
0x0042c918,string,,??_C@_0BC@CMDHFBOK@Blue?5guy?5?$CIplayer?$CJ?$AA@
0x0042c92c,string,,??_C@_09GMKELAO@Green?5guy?$AA@
0x0042c938,string,,??_C@_09IBGCBBGF@Brown?5guy?$AA@
0x0042c944,string,,??_C@_08HDCEKEID@Grey?5guy?$AA@
0x0042c950,string,,??_C@_08EDEIJMPL@Blue?5guy?$AA@
0x0042c644,float,4,__real@3e4ccccd
0x0042c8fc,float,4,__real@3d4ccccd
0x0042c7bc,float,4,gameTimeoutTextX
0x0042c898,float,4,__real@bf4ccccd
0x0042c8e8,float,4,__real@3ed70a3d
0x0042c900,float,4,__real@be19999a
0x00402846,function,0x4bb,?UpdateFreeGameCamera@@YAXH@Z
0x0040e1b0,function,0x4b5,?RunGameFrame@@YAXE@Z
0x00406e98,function,0x8d5,?InitializeGameRuntimeState@@YAHXZ
0x0040d7ad,function,0x9b9,?UpdateGameReplay@@YAHXZ
0x00402f1b,function,0x8ff,?UpdateGameCamera@@YAXXZ
0x0040ebeb,function,0x1135,?Initialize@GameMan@@QAEXAAUVector3@@MHH@Z
0x00410b3e,function,0x431b,?Update@GameMan@@QAEXH@Z
0x00414e59,global,0x24,_GameManUpdateDispatchTable0
0x00414e7d,global,0x3c,_GameManUpdateDispatchTable1
0x0040a455,function,0x1133,?ResolveGameCollisions@@YAXXZ
0x00409b13,function,0x499,?FractureGameBoxAtPoint@@YAEAAUVector3@@PAUGameBox@@@Z
0x0041afd0,function,0x159,?DistortTextureByLayers@@YAHHHDHHDH@Z
0x00410505,function,0x35e,?BuildDefaultGameArena@@YAXH@Z
0x004096b0,function,0x39a,?ApplyWaterInteraction@GameBox@@QAEXXZ
0x0040ff2a,function,0x3f6,?ChooseAiInput@GameMan@@QAEIPAU1@@Z
0x0040c5a5,function,0x4fd,?Render@GameBox@@QAEXXZ
0x00409fac,function,0x4a9,?GenerateGameBoxCollisionContacts@@YAHPAUGameBox@@0@Z
0x0040c157,function,0x3f1,?RenderWaterSurface@@YAXXZ
0x0042c760,,,__real@43480000
0x0042c764,,,__real@3089705f
0x0042c768,,,__real@1e3ce508
0x004022c1,function,,?Normalize@Vector3@@QAEMXZ
0x00402302,function,,?Normalized@Vector3@@QAE?AU1@XZ
0x004059d7,function,0x1ba,?CompileFunctionDefinition@ExpressionParser@@QAEPADPAD00@Z
0x00405d33,function,0x260,?PrepareEvaluation@ExpressionParser@@QAEXXZ
0x00405f93,function,0x261,?CompileExpression@ExpressionParser@@QAE?AUParserExpression@@H@Z
0x004062e4,function,0x229,?CompileStatement@ExpressionParser@@QAEPADPAD@Z
0x00406565,function,0x420,?CompileValue@ExpressionParser@@QAE?AUParserExpression@@H@Z
0x00406985,function,0x2b2,?LoadGameLevel@@YAXPAD@Z
0x00404d6d,function,0xc4,?ParserBuiltinTurnTo@@YAXPAUParserBuiltinCall@@@Z
0x00417c7d,function,0xf6,_ApplyTrackerVolumeColumn
0x00417d73,function,,?UpdateTrackerMixerChannel@@YAXPAUTrackerChannelState@@PAUGameAudioParsedSample@@PAUGameAudioParsedModule@@@Z
0x00407c85,function,,?GameAudioRead@@YAHPAXHPAUGameAudioStreamContext@@@Z
0x00407cba,function,,?GameAudioSeek@@YAPAUGameAudioStreamContext@@PAU1@HC@Z
0x00416bc2,function,,?ConfigureGameAudioTiming@@YAXPAUGameAudioTiming@@H@Z
0x00416bf7,function,,?GameAudioShutdownBackend@@YAEH@Z
0x00418007,function,,?ProcessGameAudioPatternRow@@YAXPAUGameAudioParsedModule@@@Z
0x0041895c,function,0x6a5,_ParseGameAudioModule
0x00419001,function,,_ConfigureGameAudioStreamCallbacks
0x0041906e,function,,?CreateGameAudioOwnedBlock@@YAPAUGameAudioOwnedBlock@@HDH@Z
0x004190c6,function,,?InvokeGameAudioBlockTail@@YAHHHPAUGameAudioOwnedBlock@@@Z
0x004190e4,function,,_InvokeGameAudioBlockHead
0x004193e0,function,,?ImportTextureTga@@YAHPBDPAI@Z
0x004194d0,function,,?ShutdownTextureGenerator@@YAXXZ
0x00419560,function,,?SampleTexturePixelX87@@YAIPAIMM@Z
0x00419820,function,,?SampleTexturePixelMmx@@YAIPAIMM@Z
0x00419930,function,,?SampleTexturePixel@@YAIPAIMM@Z
0x00419960,function,,?BuildTextureSet@@YAPAPAXPAPAXPAX@Z
0x0041a130,function,,?InterpolateTextureValue@@YAMMMMMMM@Z
0x0041a180,function,,?FillTextureCubicNoise@@YAXPAMHM@Z
0x0041a400,function,,?GenerateTextureCubicNoise@@YAXHDHHHHH@Z
0x0041a4e0,function,,?AddTextureLayers@@YAPAIPAI0@Z
